"#","Name","Symbol","Market Cap","Price","Available Supply","Volume (24h)","% 1h","% 24h","% 7d","date","market_cap"
8,"Namecoin","NMC","$ 33,963,957","$ 4.25","7,987,170","$ 662,262","0.18 %","-2.83 %","-24.82 %",2014-02-09," $ 9,339,319,336 "
9,"Quark","QRK","$ 18,402,696","$ 0.074348","247,519,532","$ 98,403","0.43 %","-5.37 %","-30.86 %",2014-02-09," $ 9,339,319,336 "
10,"BitShares PTS","PTS","$ 15,080,347","$ 10.45","1,443,370
                    
                    
                        *","$ 16,110","0.27 %","-3.36 %","-22.64 %",2014-02-09," $ 9,339,319,336 "
1,"Bitcoin","BTC","$ 8,086,695,910","$ 651.99","12,403,142","$ 24,221,861","-0.07 %","0.69 %","-3.24 %",2014-02-16," $ 9,116,148,352 "
2,"Litecoin","LTC","$ 413,450,417","$ 16.06","25,749,069","$ 3,963,838","-0.18 %","-0.52 %","-10.85 %",2014-02-16," $ 9,116,148,352 "
3,"Ripple","XRP","$ 126,139,269","$ 0.016135","7,817,889,792
                    
                    
                        *","$ 69,079","-0.06 %","0.29 %","-7.67 %",2014-02-16," $ 9,116,148,352 "
4,"Peercoin","PPC","$ 90,318,446","$ 4.27","21,152,215","$ 612,457","-0.11 %","1.41 %","-7.25 %",2014-02-16," $ 9,116,148,352 "
5,"Dogecoin","DOGE","$ 75,095,605","$ 0.001484","50,615,714,167","$ 4,200,562","-0.34 %","-1.93 %","34.39 %",2014-02-16," $ 9,116,148,352 "
6,"Nxt","NXT","$ 57,605,638","$ 0.057606","999,998,016
                    
                    
                        *","$ 358,558","-0.08 %","-3.57 %","22.75 %",2014-02-16," $ 9,116,148,352 "
7,"Mastercoin (...","MSC","$ 48,688,398","$ 78.60","619,478
                    
                    
                        *","$ 35,865","0.01 %","5.85 %","25.29 %",2014-02-16," $ 9,116,148,352 "
8,"Counterparty","XCP","$ 35,568,830","$ 13.43","2,648,756
                    
                    
                        *","$ 96,592","4.79 %","?","?",2014-02-16," $ 9,116,148,352 "
9,"Namecoin","NMC","$ 31,508,138","$ 3.92","8,044,622","$ 527,325","-0.18 %","1.51 %","-7.89 %",2014-02-16," $ 9,116,148,352 "
10,"Quark","QRK","$ 17,647,547","$ 0.071285","247,561,725","$ 226,828","0.06 %","1.58 %","-4.12 %",2014-02-16," $ 9,116,148,352 "
1,"Bitcoin","BTC","$ 7,668,256,814","$ 616.75","12,433,401","$ 35,689,975","0.31 %","8.59 %","-5.41 %",2014-02-23," $ 8,629,675,866 "
2,"Litecoin","LTC","$ 397,786,754","$ 15.33","25,953,213","$ 7,970,342","0.48 %","10.67 %","-4.55 %",2014-02-23," $ 8,629,675,866 "
3,"Ripple","XRP","$ 122,420,038","$ 0.015659","7,817,889,792
                    
                    
                        *","$ 83,932","0.09 %","5.22 %","-2.95 %",2014-02-23," $ 8,629,675,866 "
4,"Peercoin","PPC","$ 83,038,326","$ 3.92","21,169,154","$ 685,411","0.45 %","8.88 %","-8.13 %",2014-02-23," $ 8,629,675,866 "
5,"Dogecoin","DOGE","$ 67,382,605","$ 0.001268","53,131,194,540","$ 1,822,804","-0.29 %","4.81 %","-14.52 %",2014-02-23," $ 8,629,675,866 "
6,"Nxt","NXT","$ 55,254,844","$ 0.055255","999,998,016
                    
                    
                        *","$ 137,447","0.13 %","6.88 %","-4.08 %",2014-02-23," $ 8,629,675,866 "
7,"Mastercoin (...","MSC","$ 35,316,174","$ 57.01","619,478
                    
                    
                        *","$ 2,551","0.69 %","24.33 %","-27.46 %",2014-02-23," $ 8,629,675,866 "
8,"Namecoin","NMC","$ 29,098,685","$ 3.59","8,105,368","$ 741,913","0.52 %","10.25 %","-8.34 %",2014-02-23," $ 8,629,675,866 "
9,"BitShares PTS","PTS","$ 24,103,258","$ 15.74","1,531,576
                    
                    
                        *","$ 1,029,495","-0.81 %","-5.21 %","53.22 %",2014-02-23," $ 8,629,675,866 "
10,"Counterparty","XCP","$ 18,028,820","$ 6.81","2,648,741
                    
                    
                        *","$ 12,027","0.87 %","?","-49.31 %",2014-02-23," $ 8,629,675,866 "
1,"Bitcoin","BTC","$ 7,043,413,608","$ 565.11","12,463,699","$ 12,468,483","0.03 %","1.81 %","-8.37 %",2014-03-02," $ 8,047,576,132 "
2,"Litecoin","LTC","$ 356,100,696","$ 13.61","26,164,896","$ 2,581,751","-0.00 %","1.47 %","-11.20 %",2014-03-02," $ 8,047,576,132 "
3,"Auroracoin","AUR","$ 184,289,850","$ 17.39","10,595,601
                    
                    
                        **","$ 144,907","1.77 %","-11.00 %","?",2014-03-02," $ 8,047,576,132 "
4,"Ripple","XRP","$ 106,512,532","$ 0.013624","7,817,889,792
                    
                    
                        *","$ 76,384","-0.06 %","-0.67 %","-12.99 %",2014-03-02," $ 8,047,576,132 "
5,"Peercoin","PPC","$ 69,930,364","$ 3.30","21,190,600","$ 309,539","-0.04 %","0.33 %","-15.87 %",2014-03-02," $ 8,047,576,132 "
6,"Dogecoin","DOGE","$ 57,293,799","$ 0.001030","55,637,985,707","$ 1,243,479","-0.32 %","-3.09 %","-18.80 %",2014-03-02," $ 8,047,576,132 "
7,"Nxt","NXT","$ 45,211,007","$ 0.045211","999,998,016
                    
                    
                        *","$ 161,343","-0.15 %","1.23 %","-18.18 %",2014-03-02," $ 8,047,576,132 "
8,"Mastercoin (...","MSC","$ 32,918,958","$ 53.14","619,478
                    
                    
                        *","$ 8,335","0.89 %","8.81 %","-6.79 %",2014-03-02," $ 8,047,576,132 "
9,"Namecoin","NMC","$ 27,488,674","$ 3.37","8,164,160","$ 205,581","-0.02 %","1.89 %","-6.21 %",2014-03-02," $ 8,047,576,132 "
10,"Counterparty","XCP","$ 12,027,606","$ 4.54","2,648,736
                    
                    
                        *","$ 27,446","0.34 %","-2.48 %","-33.29 %",2014-03-02," $ 8,047,576,132 "
1,"Bitcoin","BTC","$ 7,714,756,107","$ 617.61","12,491,393","$ 15,690,583","0.02 %","-1.10 %","9.29 %",2014-03-09," $ 8,891,659,862 "
2,"Litecoin","LTC","$ 405,609,043","$ 15.37","26,394,281","$ 4,942,444","0.10 %","-2.38 %","12.91 %",2014-03-09," $ 8,891,659,862 "
3,"Auroracoin","AUR","$ 318,170,001","$ 29.99","10,609,697
                    
                    
                        **","$ 626,199","0.68 %","51.73 %","72.42 %",2014-03-09," $ 8,891,659,862 "
4,"Ripple","XRP","$ 112,505,960","$ 0.014391","7,817,889,792
                    
                    
                        *","$ 30,956","0.04 %","-2.69 %","5.63 %",2014-03-09," $ 8,891,659,862 "
5,"Peercoin","PPC","$ 67,223,860","$ 3.17","21,210,285","$ 425,132","-0.03 %","-3.56 %","-3.96 %",2014-03-09," $ 8,891,659,862 "
6,"Dogecoin","DOGE","$ 48,823,075","$ 0.000840","58,122,342,059","$ 1,345,340","-0.02 %","-7.70 %","-18.43 %",2014-03-09," $ 8,891,659,862 "
7,"Nxt","NXT","$ 45,767,236","$ 0.045767","999,997,120
                    
                    
                        *","$ 66,064","-0.10 %","-1.92 %","1.23 %",2014-03-09," $ 8,891,659,862 "
8,"Mastercoin (...","MSC","$ 35,947,677","$ 58.03","619,478
                    
                    
                        *","$ 1,095","0.13 %","0.90 %","9.20 %",2014-03-09," $ 8,891,659,862 "
9,"Namecoin","NMC","$ 27,590,393","$ 3.36","8,218,814","$ 101,790","0.12 %","-1.37 %","-0.30 %",2014-03-09," $ 8,891,659,862 "
10,"Counterparty","XCP","$ 10,783,267","$ 4.07","2,648,721
                    
                    
                        *","$ 17,629","0.09 %","-7.13 %","-10.35 %",2014-03-09," $ 8,891,659,862 "
1,"Bitcoin","BTC","$ 7,948,573,282","$ 634.88","12,519,853","$ 4,080,993","-0.04 %","0.57 %","2.80 %",2014-03-16," $ 9,054,488,764 "
2,"Litecoin","LTC","$ 455,166,827","$ 17.11","26,607,653","$ 3,446,568","0.24 %","2.93 %","11.32 %",2014-03-16," $ 9,054,488,764 "
3,"Auroracoin","AUR","$ 163,858,566","$ 15.43","10,620,856
                    
                    
                        **","$ 163,080","-2.54 %","-26.74 %","-48.55 %",2014-03-16," $ 9,054,488,764 "
4,"Ripple","XRP","$ 112,606,582","$ 0.014404","7,817,889,792
                    
                    
                        *","$ 46,217","0.02 %","0.90 %","0.09 %",2014-03-16," $ 9,054,488,764 "
5,"Peercoin","PPC","$ 68,500,177","$ 3.23","21,228,541","$ 95,432","0.03 %","-0.58 %","1.81 %",2014-03-16," $ 9,054,488,764 "
6,"Dogecoin","DOGE","$ 50,586,214","$ 0.000835","60,592,453,376","$ 889,955","-0.17 %","-3.47 %","-0.61 %",2014-03-16," $ 9,054,488,764 "
7,"Mastercoin (...","MSC","$ 40,190,305","$ 64.88","619,478
                    
                    
                        *","$ 22,021","-0.78 %","-12.56 %","11.80 %",2014-03-16," $ 9,054,488,764 "
8,"Nxt","NXT","$ 38,016,477","$ 0.038017","999,997,120
                    
                    
                        *","$ 89,331","-0.14 %","-6.83 %","-16.94 %",2014-03-16," $ 9,054,488,764 "
9,"SpainCoin","SPA","$ 37,850,897","$ 1.50","25,254,487
                    
                    
                        **","$ 8,374","9.39 %","?","?",2014-03-16," $ 9,054,488,764 "
10,"Namecoin","NMC","$ 27,925,957","$ 3.38","8,268,846","$ 87,465","-0.01 %","0.53 %","0.60 %",2014-03-16," $ 9,054,488,764 "
1,"Bitcoin","BTC","$ 7,090,494,826","$ 565.00","12,549,569","$ 16,235,626","-0.03 %","-0.49 %","-11.01 %",2014-03-23," $ 8,130,843,063 "
2,"Litecoin","LTC","$ 418,647,060","$ 15.61","26,821,274","$ 5,282,688","-0.06 %","0.53 %","-8.76 %",2014-03-23," $ 8,130,843,063 "
3,"Auroracoin","AUR","$ 156,162,910","$ 14.69","10,627,519
                    
                    
                        **","$ 147,267","-0.21 %","0.46 %","-4.76 %",2014-03-23," $ 8,130,843,063 "
4,"Ripple","XRP","$ 100,760,878","$ 0.012889","7,817,889,792
                    
                    
                        *","$ 160,921","-0.10 %","-2.30 %","-10.52 %",2014-03-23," $ 8,130,843,063 "
5,"Aphroditecoin","APH","$ 70,360,415","$ 3.12","22,537,904
                    
                    
                        **","$ 92,536","-4.64 %","?","?",2014-03-23," $ 8,130,843,063 "
6,"Peercoin","PPC","$ 56,476,542","$ 2.66","21,250,619","$ 126,435","-0.01 %","-1.37 %","-17.64 %",2014-03-23," $ 8,130,843,063 "
7,"Dogecoin","DOGE","$ 42,932,980","$ 0.000682","62,953,657,145","$ 715,799","-0.09 %","-0.85 %","-18.31 %",2014-03-23," $ 8,130,843,063 "
8,"Nxt","NXT","$ 42,075,643","$ 0.042076","999,997,120
                    
                    
                        *","$ 150,713","0.20 %","-0.16 %","10.68 %",2014-03-23," $ 8,130,843,063 "
9,"Mastercoin (...","MSC","$ 25,207,344","$ 40.69","619,478
                    
                    
                        *","$ 7,661","0.47 %","-6.51 %","-37.28 %",2014-03-23," $ 8,130,843,063 "
10,"Namecoin","NMC","$ 22,682,979","$ 2.73","8,323,809","$ 66,904","0.01 %","-0.82 %","-19.31 %",2014-03-23," $ 8,130,843,063 "
1,"Bitcoin","BTC","$ 6,046,858,092","$ 480.68","12,579,866","$ 14,938,876","-0.28 %","-3.89 %","-14.92 %",2014-03-30," $ 6,753,098,780 "
2,"Litecoin","LTC","$ 358,475,302","$ 13.27","27,020,943","$ 4,735,625","-0.15 %","-3.57 %","-15.01 %",2014-03-30," $ 6,753,098,780 "
3,"Ripple","XRP","$ 78,820,712","$ 0.010082","7,817,889,792
                    
                    
                        *","$ 135,046","-0.35 %","-4.19 %","-21.77 %",2014-03-30," $ 6,753,098,780 "
4,"Peercoin","PPC","$ 43,800,707","$ 2.06","21,268,090","$ 124,462","-0.19 %","-3.61 %","-22.51 %",2014-03-30," $ 6,753,098,780 "
5,"Dogecoin","DOGE","$ 36,766,905","$ 0.000563","65,286,175,513","$ 2,112,070","-0.66 %","6.71 %","-17.42 %",2014-03-30," $ 6,753,098,780 "
6,"Nxt","NXT","$ 27,254,908","$ 0.027255","999,997,120
                    
                    
                        *","$ 66,161","-0.43 %","-3.59 %","-35.22 %",2014-03-30," $ 6,753,098,780 "
7,"Namecoin","NMC","$ 19,825,518","$ 2.37","8,382,164","$ 128,046","-0.12 %","-1.10 %","-13.21 %",2014-03-30," $ 6,753,098,780 "
8,"Mastercoin (...","MSC","$ 19,595,660","$ 31.63","619,478
                    
                    
                        *","$ 2,100","-0.14 %","-4.96 %","-22.26 %",2014-03-30," $ 6,753,098,780 "
9,"Auroracoin","AUR","$ 18,585,955","$ 1.75","10,642,937
                    
                    
                        **","$ 169,154","-1.06 %","-40.76 %","-88.12 %",2014-03-30," $ 6,753,098,780 "
10,"Bitleu","BTL","$ 9,999,043","$ 0.003993","2,504,173,679
                    
                    
                        **","$ 51","-6.88 %","?","?",2014-03-30," $ 6,753,098,780 "
1,"Bitcoin","BTC","$ 5,826,512,254","$ 462.01","12,611,332","$ 11,585,152","-0.06 %","2.72 %","-3.88 %",2014-04-06," $ 6,464,272,468 "
2,"Litecoin","LTC","$ 313,585,020","$ 11.52","27,228,627","$ 4,212,374","0.24 %","4.27 %","-13.19 %",2014-04-06," $ 6,464,272,468 "
3,"Ripple","XRP","$ 64,858,509","$ 0.008296","7,817,889,792
                    
                    
                        *","$ 97,488","-0.08 %","2.20 %","-17.71 %",2014-04-06," $ 6,464,272,468 "
4,"Peercoin","PPC","$ 40,157,519","$ 1.89","21,287,377","$ 89,974","0.01 %","2.87 %","-8.40 %",2014-04-06," $ 6,464,272,468 "
5,"Dogecoin","DOGE","$ 31,782,220","$ 0.000470","67,564,342,727","$ 586,003","-0.04 %","3.83 %","-16.47 %",2014-04-06," $ 6,464,272,468 "
6,"Nxt","NXT","$ 28,796,165","$ 0.028796","999,997,120
                    
                    
                        *","$ 30,802","-0.15 %","1.93 %","5.65 %",2014-04-06," $ 6,464,272,468 "
7,"Mastercoin (...","MSC","$ 23,167,536","$ 37.40","619,478
                    
                    
                        *","$ 2,448","-0.05 %","2.44 %","18.23 %",2014-04-06," $ 6,464,272,468 "
8,"Auroracoin","AUR","$ 21,850,858","$ 2.05","10,667,841
                    
                    
                        **","$ 66,909","0.02 %","-2.09 %","17.29 %",2014-04-06," $ 6,464,272,468 "
9,"Namecoin","NMC","$ 16,571,639","$ 1.96","8,438,623","$ 85,329","-0.03 %","1.92 %","-16.97 %",2014-04-06," $ 6,464,272,468 "
10,"Bitleu","BTL","$ 9,270,820","$ 0.003701","2,504,910,848
                    
                    
                        **","$ 569","-3.28 %","332.49 %","-7.31 %",2014-04-06," $ 6,464,272,468 "
1,"Bitcoin","BTC","$ 5,358,904,730","$ 424.00","12,638,819","$ 13,812,150","-0.06 %","-1.14 %","-8.23 %",2014-04-13," $ 5,916,868,130 "
2,"Litecoin","LTC","$ 294,319,059","$ 10.73","27,425,468","$ 4,983,402","-0.18 %","-3.96 %","-6.82 %",2014-04-13," $ 5,916,868,130 "
3,"Ripple","XRP","$ 48,568,667","$ 0.006213","7,817,889,792
                    
                    
                        *","$ 171,183","-0.19 %","-5.37 %","-25.12 %",2014-04-13," $ 5,916,868,130 "
4,"Peercoin","PPC","$ 38,436,862","$ 1.80","21,307,935","$ 193,614","-0.50 %","-2.40 %","-4.38 %",2014-04-13," $ 5,916,868,130 "
5,"Dogecoin","DOGE","$ 29,079,941","$ 0.000416","69,823,922,688","$ 429,550","-0.29 %","-4.84 %","-11.46 %",2014-04-13," $ 5,916,868,130 "
6,"Nxt","NXT","$ 22,974,772","$ 0.022975","999,997,120
                    
                    
                        *","$ 21,509","-0.20 %","0.14 %","-20.22 %",2014-04-13," $ 5,916,868,130 "
7,"Mastercoin (...","MSC","$ 18,239,183","$ 29.44","619,478
                    
                    
                        *","$ 6,575","0.30 %","5.26 %","-21.27 %",2014-04-13," $ 5,916,868,130 "
8,"Namecoin","NMC","$ 15,073,912","$ 1.77","8,498,825","$ 124,217","-0.20 %","-3.40 %","-9.68 %",2014-04-13," $ 5,916,868,130 "
9,"Auroracoin","AUR","$ 11,382,280","$ 1.06","10,692,521
                    
                    
                        **","$ 57,842","-1.16 %","-10.51 %","-48.03 %",2014-04-13," $ 5,916,868,130 "
10,"BlackCoin","BLK","$ 7,816,288","$ 0.104910","74,505,027
                    
                    
                        *","$ 1,337,967","4.79 %","122.34 %","185.02 %",2014-04-13," $ 5,916,868,130 "
1,"Bitcoin","BTC","$ 6,403,335,203","$ 505.44","12,668,748","$ 17,828,130","0.07 %","4.59 %","19.21 %",2014-04-20," $ 7,134,179,934 "
2,"Litecoin","LTC","$ 356,834,602","$ 12.92","27,614,911","$ 6,533,290","0.06 %","7.26 %","20.41 %",2014-04-20," $ 7,134,179,934 "
3,"Peercoin","PPC","$ 57,643,816","$ 2.70","21,332,090","$ 445,714","-0.02 %","7.74 %","49.80 %",2014-04-20," $ 7,134,179,934 "
4,"Ripple","XRP","$ 50,342,487","$ 0.006439","7,817,889,792
                    
                    
                        *","$ 185,902","-0.12 %","2.25 %","3.65 %",2014-04-20," $ 7,134,179,934 "
5,"Dogecoin","DOGE","$ 46,845,454","$ 0.000649","72,134,108,729","$ 1,481,555","0.01 %","3.83 %","55.93 %",2014-04-20," $ 7,134,179,934 "
6,"Mastercoin (...","MSC","$ 41,872,526","$ 67.59","619,478
                    
                    
                        *","$ 70,875","-1.46 %","-0.62 %","129.57 %",2014-04-20," $ 7,134,179,934 "
7,"Nxt","NXT","$ 26,139,789","$ 0.026140","999,997,120
                    
                    
                        *","$ 53,527","0.10 %","3.97 %","13.78 %",2014-04-20," $ 7,134,179,934 "
8,"Namecoin","NMC","$ 23,070,329","$ 2.70","8,557,705","$ 553,193","-0.02 %","6.41 %","52.00 %",2014-04-20," $ 7,134,179,934 "
9,"BlackCoin","BLK","$ 17,649,169","$ 0.236868","74,510,469
                    
                    
                        *","$ 1,490,313","0.83 %","14.24 %","125.78 %",2014-04-20," $ 7,134,179,934 "
10,"Auroracoin","AUR","$ 9,657,679","$ 0.901154","10,717,014
                    
                    
                        **","$ 15,993","0.08 %","1.24 %","-15.35 %",2014-04-20," $ 7,134,179,934 "
1,"Bitcoin","BTC","$ 5,796,071,462","$ 456.46","12,697,974","$ 8,929,749","-0.03 %","0.73 %","-9.69 %",2014-04-27," $ 6,379,307,495 "
2,"Litecoin","LTC","$ 294,265,194","$ 10.57","27,831,404","$ 2,399,488","0.03 %","0.23 %","-18.18 %",2014-04-27," $ 6,379,307,495 "
3,"Peercoin","PPC","$ 46,636,768","$ 2.18","21,351,649","$ 98,329","0.11 %","0.66 %","-19.17 %",2014-04-27," $ 6,379,307,495 "
4,"Ripple","XRP","$ 41,479,933","$ 0.005306","7,817,889,792
                    
                    
                        *","$ 111,046","-0.19 %","-2.25 %","-17.60 %",2014-04-27," $ 6,379,307,495 "
5,"Dogecoin","DOGE","$ 34,902,154","$ 0.000469","74,479,531,369","$ 810,055","-0.06 %","0.08 %","-27.84 %",2014-04-27," $ 6,379,307,495 "
6,"Mastercoin (...","MSC","$ 24,186,944","$ 39.04","619,478
                    
                    
                        *","$ 9,726","-0.47 %","3.86 %","-42.24 %",2014-04-27," $ 6,379,307,495 "
7,"Nxt","NXT","$ 21,091,939","$ 0.021092","999,997,120
                    
                    
                        *","$ 34,295","-0.18 %","2.77 %","-19.31 %",2014-04-27," $ 6,379,307,495 "
8,"Namecoin","NMC","$ 18,956,189","$ 2.20","8,614,778","$ 94,038","-0.06 %","0.42 %","-18.38 %",2014-04-27," $ 6,379,307,495 "
9,"BlackCoin","BLK","$ 11,731,592","$ 0.157437","74,516,085
                    
                    
                        *","$ 869,602","-0.12 %","27.57 %","-33.53 %",2014-04-27," $ 6,379,307,495 "
10,"Dash","DASH","$ 7,230,014","$ 1.74","4,154,671","$ 1,128,131","-0.05 %","1.34 %","138.69 %",2014-04-27," $ 6,379,307,495 "
1,"Bitcoin","BTC","$ 5,542,982,981","$ 435.57","12,725,717","$ 9,459,853","-0.10 %","-2.03 %","-4.58 %",2014-05-04," $ 6,107,150,939 "
2,"Litecoin","LTC","$ 288,749,199","$ 10.29","28,050,131","$ 2,347,249","0.00 %","-1.21 %","-2.64 %",2014-05-04," $ 6,107,150,939 "
3,"Peercoin","PPC","$ 44,259,546","$ 2.07","21,371,501","$ 49,941","-0.08 %","-1.29 %","-5.19 %",2014-05-04," $ 6,107,150,939 "
4,"Ripple","XRP","$ 39,077,732","$ 0.004999","7,817,889,792
                    
                    
                        *","$ 58,140","-0.04 %","-3.63 %","-5.79 %",2014-05-04," $ 6,107,150,939 "
5,"Dogecoin","DOGE","$ 34,893,759","$ 0.000460","75,869,028,068","$ 476,406","-0.10 %","-3.00 %","-1.86 %",2014-05-04," $ 6,107,150,939 "
6,"Nxt","NXT","$ 22,749,421","$ 0.022749","999,997,120
                    
                    
                        *","$ 23,165","-0.07 %","-0.07 %","7.86 %",2014-05-04," $ 6,107,150,939 "
7,"Mastercoin (...","MSC","$ 20,597,758","$ 33.25","619,478
                    
                    
                        *","$ 1,538","-0.10 %","-4.55 %","-14.84 %",2014-05-04," $ 6,107,150,939 "
8,"Namecoin","NMC","$ 17,869,915","$ 2.06","8,676,440","$ 67,893","-0.01 %","-0.65 %","-6.40 %",2014-05-04," $ 6,107,150,939 "
9,"BlackCoin","BLK","$ 10,358,824","$ 0.139002","74,522,756
                    
                    
                        *","$ 931,215","-0.44 %","2.07 %","-11.71 %",2014-05-04," $ 6,107,150,939 "
10,"BitShares PTS","PTS","$ 5,881,129","$ 3.60","1,633,871
                    
                    
                        *","$ 10,818","-0.03 %","-0.42 %","-6.46 %",2014-05-04," $ 6,107,150,939 "
1,"Bitcoin","BTC","$ 5,745,688,328","$ 450.49","12,754,391","$ 6,512,060","-0.15 %","-0.21 %","3.42 %",2014-05-11," $ 6,347,543,249 "
2,"Litecoin","LTC","$ 300,646,398","$ 10.64","28,245,117","$ 1,900,655","-0.16 %","-1.37 %","3.40 %",2014-05-11," $ 6,347,543,249 "
3,"Ripple","XRP","$ 45,758,584","$ 0.005853","7,817,889,792
                    
                    
                        *","$ 142,853","-0.26 %","-3.14 %","17.10 %",2014-05-11," $ 6,347,543,249 "
4,"Peercoin","PPC","$ 45,642,991","$ 2.13","21,390,380","$ 52,500","-0.08 %","-1.24 %","3.03 %",2014-05-11," $ 6,347,543,249 "
5,"Dogecoin","DOGE","$ 36,266,515","$ 0.000471","77,031,146,780","$ 481,326","-0.19 %","-3.67 %","2.37 %",2014-05-11," $ 6,347,543,249 "
6,"Nxt","NXT","$ 31,068,945","$ 0.031069","999,997,120
                    
                    
                        *","$ 66,082","-0.06 %","1.72 %","36.57 %",2014-05-11," $ 6,347,543,249 "
7,"Mastercoin (...","MSC","$ 18,673,374","$ 30.14","619,478
                    
                    
                        *","$ 21,834","-1.04 %","-11.56 %","-9.34 %",2014-05-11," $ 6,347,543,249 "
8,"Namecoin","NMC","$ 18,198,240","$ 2.08","8,728,259","$ 105,702","-0.19 %","-0.25 %","1.23 %",2014-05-11," $ 6,347,543,249 "
9,"Dash","DASH","$ 11,260,857","$ 2.64","4,261,703","$ 787,204","0.26 %","17.75 %","117.78 %",2014-05-11," $ 6,347,543,249 "
10,"BlackCoin","BLK","$ 9,222,720","$ 0.123746","74,529,478
                    
                    
                        *","$ 225,717","-0.32 %","-5.38 %","-10.98 %",2014-05-11," $ 6,347,543,249 "
1,"Bitcoin","BTC","$ 5,737,913,252","$ 448.86","12,783,202","$ 2,658,028","-0.01 %","-0.07 %","-0.36 %",2014-05-18," $ 6,343,012,860 "
2,"Litecoin","LTC","$ 295,534,726","$ 10.38","28,458,907","$ 758,043","0.01 %","-0.24 %","-2.44 %",2014-05-18," $ 6,343,012,860 "
3,"Ripple","XRP","$ 50,017,530","$ 0.006398","7,817,889,792
                    
                    
                        *","$ 262,825","-0.21 %","-6.31 %","9.31 %",2014-05-18," $ 6,343,012,860 "
4,"Peercoin","PPC","$ 44,862,487","$ 2.10","21,410,737","$ 60,916","0.01 %","-0.45 %","-1.80 %",2014-05-18," $ 6,343,012,860 "
5,"Nxt","NXT","$ 40,594,943","$ 0.040595","999,997,120
                    
                    
                        *","$ 248,740","-0.45 %","8.67 %","30.66 %",2014-05-18," $ 6,343,012,860 "
6,"Dogecoin","DOGE","$ 35,306,602","$ 0.000452","78,179,132,359","$ 269,513","-0.04 %","0.01 %","-4.08 %",2014-05-18," $ 6,343,012,860 "
7,"Dash","DASH","$ 19,583,711","$ 4.56","4,297,488","$ 1,546,493","0.16 %","-19.00 %","72.46 %",2014-05-18," $ 6,343,012,860 "
8,"Namecoin","NMC","$ 17,716,861","$ 2.02","8,789,482","$ 22,588","-0.03 %","-1.33 %","-3.32 %",2014-05-18," $ 6,343,012,860 "
9,"Mastercoin (...","MSC","$ 15,527,329","$ 25.07","619,478
                    
                    
                        *","$ 6,198","0.10 %","-1.97 %","-16.85 %",2014-05-18," $ 6,343,012,860 "
10,"MaidSafeCoin","MAID","$ 6,315,298","$ 0.013955","452,552,416
                    
                    
                        *","$ 12,321","-0.26 %","10.33 %","5.63 %",2014-05-18," $ 6,343,012,860 "
1,"Bitcoin","BTC","$ 7,039,420,343","$ 549.41","12,812,755","$ 20,873,669","0.59 %","5.80 %","22.40 %",2014-05-25," $ 7,723,841,926 "
2,"Litecoin","LTC","$ 326,289,931","$ 11.39","28,659,545","$ 3,687,850","0.27 %","2.18 %","9.63 %",2014-05-25," $ 7,723,841,926 "
3,"Dash","DASH","$ 56,748,362","$ 13.13","4,323,348","$ 3,781,937","1.58 %","-2.44 %","188.04 %",2014-05-25," $ 7,723,841,926 "
4,"Peercoin","PPC","$ 51,390,876","$ 2.40","21,425,389","$ 122,490","0.46 %","5.27 %","14.47 %",2014-05-25," $ 7,723,841,926 "
5,"Nxt","NXT","$ 37,599,849","$ 0.037600","999,997,120
                    
                    
                        *","$ 83,474","0.10 %","2.28 %","-7.38 %",2014-05-25," $ 7,723,841,926 "
6,"Dogecoin","DOGE","$ 34,341,675","$ 0.000433","79,280,374,443","$ 657,174","0.01 %","4.39 %","-4.08 %",2014-05-25," $ 7,723,841,926 "
7,"Ripple","XRP","$ 29,643,405","$ 0.003792","7,817,889,792
                    
                    
                        *","$ 913,319","-1.02 %","17.58 %","-40.73 %",2014-05-25," $ 7,723,841,926 "
8,"Namecoin","NMC","$ 23,066,472","$ 2.61","8,848,056","$ 194,110","0.30 %","6.86 %","29.33 %",2014-05-25," $ 7,723,841,926 "
9,"Mastercoin (...","MSC","$ 16,623,554","$ 26.83","619,478
                    
                    
                        *","$ 3,906","1.31 %","13.90 %","7.06 %",2014-05-25," $ 7,723,841,926 "
10,"BlackCoin","BLK","$ 11,583,142","$ 0.155389","74,543,056
                    
                    
                        *","$ 1,597,893","-0.38 %","9.76 %","101.54 %",2014-05-25," $ 7,723,841,926 "
1,"Bitcoin","BTC","$ 8,215,988,797","$ 639.88","12,839,873","$ 20,381,582","0.27 %","4.11 %","16.47 %",2014-06-01," $ 8,899,300,285 "
2,"Litecoin","LTC","$ 320,444,516","$ 11.10","28,876,526","$ 4,736,204","0.14 %","0.04 %","-2.53 %",2014-06-01," $ 8,899,300,285 "
3,"Nxt","NXT","$ 57,038,556","$ 0.057039","999,997,120
                    
                    
                        *","$ 198,057","1.07 %","21.11 %","51.70 %",2014-06-01," $ 8,899,300,285 "
4,"Dash","DASH","$ 49,953,453","$ 11.50","4,345,509","$ 2,271,931","0.06 %","-1.92 %","-12.42 %",2014-06-01," $ 8,899,300,285 "
5,"Peercoin","PPC","$ 43,338,342","$ 2.02","21,443,523","$ 507,843","-0.06 %","-6.87 %","-15.74 %",2014-06-01," $ 8,899,300,285 "
