"#","Name","Symbol","Market Cap","Price","Available Supply","Volume (24h)","% 1h","% 24h","% 7d","date","market_cap"
8,"Terracoin","TRC","$ 441,765","$ 0.126189","3,500,810","Low Vol","-0.45 %","-3.06 %","-16.50 %",2013-07-28," $ 1,157,533,984 "
9,"Devcoin","DVC","$ 259,072","$ 0.000052","4,956,225,938","Low Vol","-0.32 %","-36.48 %","2.17 %",2013-07-28," $ 1,157,533,984 "
10,"Freicoin","FRC","$ 200,972","$ 0.008751","22,966,473","Low Vol","-0.61 %","-14.59 %","-18.15 %",2013-07-28," $ 1,157,533,984 "
1,"Bitcoin","BTC","$ 1,201,449,637","$ 104.45","11,502,750","Low Vol","-0.02 %","0.44 %","10.08 %",2013-08-04," $ 1,275,693,704 "
2,"Litecoin","LTC","$ 59,544,268","$ 2.98","20,013,694","Low Vol","-0.11 %","4.01 %","3.55 %",2013-08-04," $ 1,275,693,704 "
3,"Namecoin","NMC","$ 3,855,624","$ 0.624057","6,178,317","Low Vol","-0.01 %","0.90 %","8.05 %",2013-08-04," $ 1,275,693,704 "
4,"Peercoin","PPC","$ 3,284,164","$ 0.165511","19,842,510","Low Vol","0.02 %","-4.97 %","25.79 %",2013-08-04," $ 1,275,693,704 "
5,"Feathercoin","FTC","$ 2,423,393","$ 0.196002","12,364,154","Low Vol","-0.06 %","-2.62 %","135.49 %",2013-08-04," $ 1,275,693,704 "
6,"Novacoin","NVC","$ 1,852,057","$ 5.47","338,717","Low Vol","-0.06 %","0.66 %","-8.54 %",2013-08-04," $ 1,275,693,704 "
7,"Primecoin","XPM","$ 890,034","$ 0.656601","1,355,518","Low Vol","0.05 %","2.48 %","-8.88 %",2013-08-04," $ 1,275,693,704 "
8,"Terracoin","TRC","$ 619,048","$ 0.175962","3,518,078","Low Vol","0.16 %","-3.13 %","39.44 %",2013-08-04," $ 1,275,693,704 "
9,"Devcoin","DVC","$ 314,864","$ 0.000063","5,005,043,648","Low Vol","-0.16 %","-0.40 %","20.35 %",2013-08-04," $ 1,275,693,704 "
10,"Digitalcoin","DGC","$ 219,905","$ 0.034285","6,414,072","Low Vol","-0.12 %","0.14 %","23.17 %",2013-08-04," $ 1,275,693,704 "
1,"Bitcoin","BTC","$ 1,195,483,604","$ 103.62","11,536,914","Low Vol","0.08 %","0.45 %","-0.79 %",2013-08-11," $ 1,296,559,186 "
2,"Litecoin","LTC","$ 52,536,452","$ 2.60","20,218,007","Low Vol","0.27 %","-2.53 %","-12.66 %",2013-08-11," $ 1,296,559,186 "
3,"Ripple","XRP","$ 33,895,169","$ 0.004336","7,817,889,792
                    
                    
                        *","Low Vol","0.06 %","0.44 %","?",2013-08-11," $ 1,296,559,186 "
4,"Namecoin","NMC","$ 4,078,068","$ 0.650768","6,266,547","Low Vol","0.10 %","-6.43 %","4.28 %",2013-08-11," $ 1,296,559,186 "
5,"Peercoin","PPC","$ 3,051,069","$ 0.153240","19,910,407","Low Vol","-0.51 %","-5.88 %","-7.41 %",2013-08-11," $ 1,296,559,186 "
6,"Feathercoin","FTC","$ 1,968,757","$ 0.150164","13,110,703","Low Vol","0.27 %","-0.35 %","-23.39 %",2013-08-11," $ 1,296,559,186 "
7,"Novacoin","NVC","$ 1,779,669","$ 5.11","348,419","Low Vol","-0.26 %","-0.90 %","-6.58 %",2013-08-11," $ 1,296,559,186 "
8,"Primecoin","XPM","$ 1,308,256","$ 0.863378","1,515,276","Low Vol","0.22 %","-0.12 %","31.49 %",2013-08-11," $ 1,296,559,186 "
9,"Terracoin","TRC","$ 658,628","$ 0.181465","3,629,505","Low Vol","-0.00 %","-0.89 %","3.13 %",2013-08-11," $ 1,296,559,186 "
10,"Devcoin","DVC","$ 284,306","$ 0.000056","5,052,235,698","Low Vol","0.22 %","-2.04 %","-10.55 %",2013-08-11," $ 1,296,559,186 "
